TABLE DR5. C & O ISOTOPIC DATA FOR THE LOMFJORDEN AND LOWER HINLOPENSTRETET SUPERGROUP CARBONATES,,,,,,,,,,,,,
Sample Name,Section,Section Height (m),Group,Formation,Member,Composite Height (m),Sample Age (Ma),UID,Session,𝞭13CVPDB,𝞭13CVPDB standard error,𝞭18OVPDB,𝞭18OVPDB startdard error
G4-161,G4,161,Veteranen,Oxfordbreen,Fulmarberget,4215,843.240404,16416,20220204,6.09,0.005,-8.65,0.0063
G4-163.5,G4,163.5,Veteranen,Oxfordbreen,Fulmarberget,4217.5,843.1983165,16417,20220204,5.89,0.0066,-8.58,0.0034
G4-166,G4,166,Veteranen,Oxfordbreen,Fulmarberget,4220,843.156229,16420,20220204,6.11,0.0025,-8.57,0.0079
G4-166.9,G4,166.9,Veteranen,Oxfordbreen,Fulmarberget,4220.9,843.1410774,16421,20220204,4.69,0.0773,-9.03,0.1418
G4-169.5,G4,169.5,Veteranen,Oxfordbreen,Fulmarberget,4223.5,843.0973064,16422,20220204,4.33,0.0054,-8.65,0.0052
G4-171.9,G4,171.9,Veteranen,Oxfordbreen,Fulmarberget,4225.9,843.0569024,16423,20220204,4.08,0.0373,-7.88,0.0765
G4-174.1,G4,174.1,Veteranen,Oxfordbreen,Fulmarberget,4228.1,843.0198653,16424,20220204,5.61,0.0216,-8.56,0.0384
G4-176.8,G4,176.8,Veteranen,Oxfordbreen,Fulmarberget,4230.8,842.9744108,16425,20220204,3.79,0.0079,-7.45,0.0122
G4-178.8,G4,178.8,Veteranen,Oxfordbreen,Fulmarberget,4232.8,842.9407407,16426,20220204,5.87,0.0039,-8.13,0.0059
G4-179.9,G4,179.9,Veteranen,Oxfordbreen,Fulmarberget,4233.9,842.9222222,16427,20220204,3.53,0.0064,-6.83,0.0134
G4-182,G4,182,Veteranen,Oxfordbreen,Fulmarberget,4236,842.8868687,16428,20220204,3.47,0.0026,-7.63,0.0074
G4-183.8,G4,183.8,Veteranen,Oxfordbreen,Fulmarberget,4237.8,842.8565657,16433,20220207,3.72,0.0031,-7.05,0.0069
G4-186.5,G4,186.5,Veteranen,Oxfordbreen,Fulmarberget,4240.5,842.8111111,16434,20220207,6.46,0.0048,-7.94,0.0068
G4-189,G4,189,Veteranen,Oxfordbreen,Fulmarberget,4243,842.7690236,16435,20220207,3.63,0.0064,-8.01,0.004
