UID,Session,Sample,d45,d46,d47,d48,d49
6270,20180704,PD6-2.3,0.012681,8.495723,28.516384,97.813933,10543.008379
6281,20180704,PD6-4.2,-0.304422,8.320773,39.239379,137.749139,15727.431151
6291,20180704,PD6-6.3,-1.047240,8.592482,18.278178,60.277951,6744.506718
6298,20180704,ETH-1,5.237746,12.263264,27.450004,62.998382,6295.341379
6287,20180704,PD6-5.5,-0.497708,8.132815,14.054235,40.955063,4304.424663
6274,20180704,PD6-3.35,-0.145186,8.690843,21.299432,67.487701,7116.199479
6273,20180704,PD6-3.2,-0.023321,8.444688,33.051250,113.425153,12562.668407
6296,20180704,PD6-36,-1.906300,7.053952,11.991687,42.680482,4417.161079
6269,20180704,PD6-2.0,-0.112990,8.701779,15.729339,42.664934,4733.381865
6262,20180704,PD6-0.5,0.298490,9.095620,34.109023,102.803272,10615.621174
6295,20180704,PD6-35,-1.567154,8.225395,16.660651,60.935351,6199.175854
6276,20180704,PD6-3.8,-0.156130,8.565809,24.820675,81.829600,8677.660172
6293,20180704,PD6-9.15,-0.769870,7.836523,26.436450,98.035373,10405.234732
6259,20180704,ETH-1,5.287618,12.299392,41.346360,97.155994,10068.654192
6285,20180704,PD6-5.0,-0.426537,8.423742,20.802310,72.696049,8016.291494
6289,20180704,ETH-2,-6.711452,-4.272177,4.226626,49.163929,10007.441524
6292,20180704,PD6-6.45,-0.984538,8.726425,15.251933,51.090602,5991.665602
6283,20180704,PD6-4.4,-0.318092,8.292852,18.476329,56.855917,6857.403314
6284,20180704,PD6-4.8,-0.500297,8.505729,28.939491,102.270371,9575.339776
6279,20180704,ETH-2,-6.801603,-4.384557,3.877638,44.602702,7819.541890
6263,20180704,PD6-0.8,0.226946,8.603099,28.067944,93.899029,9825.773361
6288,20180704,PD6-5.8,-0.651112,8.798342,27.868834,82.947212,9808.920312
6272,20180704,PD6-3.0,-0.062408,8.595971,25.272155,81.305217,9055.813324
6261,20180704,PD6-0.35,0.329301,8.693099,42.703239,188.882404,20123.615303
6290,20180704,PD6-5.95,-1.157850,8.086949,109.363117,175.321762,25792.829501
6271,20180704,PD6-2.6,-0.007640,8.645154,22.847902,70.384360,8051.968170
6258,20180704,ETH-1,5.638123,12.212192,37.916568,102.544023,4847.365656
6297,20180704,ETH-2,-6.668103,-4.174376,12.321793,80.313816,10092.496242
6286,20180704,PD6-5.3,-0.659357,8.471283,19.973067,66.699660,7932.809647
6275,20180704,PD6-3.65,-0.325191,8.438354,19.052023,57.834516,6421.612474
21681,20240116,PD1_5,6.573446,10.594543,121.589696,352.562637,46666.299804
21671,20240116,PD1_1.0,6.016101,11.939438,126.461927,277.255560,41350.085123
21693,20240116,PD1_11.8,6.404387,11.909046,135.971008,312.038735,38051.978297
21677,20240116,PD1_4.0,6.859092,7.433519,85.033238,267.611845,39373.761601
21669,20240116,ETH-2,-7.091694,-5.145262,55.314534,59.034353,17733.020788
21670,20240116,PD1_0.95,5.983211,11.802752,124.722689,223.099045,37112.895570
21684,20240116,PD1_5.8,6.045866,10.291548,102.033878,235.018461,31632.040180
21674,20240116,PD1_2.6,6.725742,12.718959,154.149614,333.181782,43809.767279
21673,20240116,PD1_1.85,7.150370,13.706893,168.202756,357.045264,44189.993629
21685,20240116,PD1_6.6,4.943156,9.832231,171.845489,299.509336,41855.496770
21672,20240116,PD1_1.5,6.120188,12.311829,167.492898,445.502641,46656.898624
21683,20240116,PD1_5.7,5.861754,11.286651,116.102087,290.889999,38329.268339
21696,20240116,PD1_12.6,4.903489,11.954411,88.532206,401.984578,54791.788552
21668,20240116,ETH-3,4.320282,11.559532,107.005534,117.144851,23658.348750
21691,20240116,PD1_10.2,6.288254,9.927050,110.124144,215.504883,33665.816206
21675,20240116,PD1_3.0,6.167659,8.050483,86.624793,238.356809,38855.200987
21695,20240116,PD1_12.4,6.409031,10.969268,98.039251,202.551130,30172.030576
21688,20240116,ETH-2,-7.111616,-5.242331,119.741057,94.320472,18701.632776
21679,20240116,ETH-2,-7.091835,-5.272137,47.610853,64.552134,14341.569469
21680,20240116,PD1_4.9,6.204903,5.907531,72.694403,269.027040,40153.519508
21689,20240116,PD1_8.2,5.930526,10.400866,165.342380,320.982804,41505.075756
21690,20240116,PD1_8.5,6.072622,11.050008,137.159918,256.569991,35309.640796
21686,20240116,PD1_6.8,11.900174,23.430094,48.359832,-42.993301,-5967.414459
21694,20240116,PD1_12,6.229729,10.844217,133.475854,506.884369,66575.756052
21678,20240116,ETH-3,4.504490,11.738185,96.869124,121.585518,17684.958968
21682,20240116,PD1_5.3,5.964372,10.622373,84.332985,250.560622,35520.564453
21692,20240116,PD1_11.6,6.332781,11.608497,91.213732,301.832617,39578.708374
21676,20240116,PD1_3.2,6.609863,8.839388,106.084203,346.062186,53123.925195
7251,20180908,PD5-78-J15,-0.697643,19.285644,49.420951,64.236232,5198.322450
7256,20180908,PD5-78-H28,-0.324954,22.894636,94.584117,97.744953,8934.531964
7255,20180908,PD5-78-E18,-0.860297,17.479770,68.816492,80.161729,6940.074638
7246,20180908,ETH-1,5.182926,12.219139,38.504692,42.875662,3828.325528
7247,20180908,PD5-78-I,-0.280199,23.297196,52.073763,71.132670,5156.952593
7265,20180908,PD5-78-L33,-0.872926,16.103337,43.673716,56.751492,4867.081760
7262,20180908,ETH-1,5.193039,12.363948,37.302636,41.032286,3840.246759
7242,20180908,PD5-78-E20,-0.691594,20.767588,62.046496,79.302669,6139.046227
7264,20180908,PD5-91-G,8.445831,15.744215,53.494123,54.120542,4952.290064
7232,20180908,ETH-2,-6.731595,-4.386627,15.165419,13.347876,4261.534732
7266,20180908,PD5-91-J,4.056339,13.778676,76.582958,112.933062,7815.704588
7258,20180908,PD5-78-E15,-0.698361,20.141790,71.739640,86.623066,6936.804210
7240,20180908,PD5-78-F13,-0.799665,19.997315,65.296771,83.852881,5876.984669
7234,20180908,PD5-78-A05,-1.241195,16.793461,59.528207,69.816498,6697.389244
7257,20180908,PD5-91-F,1.306476,13.160458,45.698184,47.279597,5360.453058
7231,20180908,ETH-1,5.207103,12.342587,41.531109,48.724862,3972.284512
7235,20180908,PD5-78-E13,-0.729053,20.396889,68.064721,76.757795,7616.607412
7253,20180908,ETH-1,5.174364,12.255882,44.348396,47.613428,4944.996573
7245,20180908,PD5-78-E17,-0.861382,19.669229,66.826382,84.730965,8163.463426
7259,20180908,PD5-78-K34,-0.298340,23.433119,57.191357,78.863684,5605.019395
